Filing_ID,Jurisdiction,Filing_Method,Submission_Date,Return_Complexity,Errors_Flag,Refund_Type,Backlog_Flag,Bank_Deposit_Method,Refund_Amount,Actual_Refund_Days,Return_Complexity_Score,Seasonal_Filing_Indicator,Filing_Day_Of_Week,Refund_Amount_Bucket,Error_Severity_Score
131,NJ,E-File,2025-03-16,High,No,Direct Deposit,Yes,N/A,1603,17,3,1,Sunday,Medium,0
132,NY,E-File,2025-02-01,Medium,No,Check,No,N/A,3881,10,2,1,Saturday,Large,0
133,CA,Paper,2025-03-13,High,Yes,Check,No,N/A,3145,52,3,1,Thursday,Large,1
134,CA,Paper,2025-01-23,Low,Yes,Check,Yes,N/A,2019,42,1,0,Thursday,Medium,1
135,CA,E-File,2025-03-13,Medium,Yes,Check,Yes,N/A,4449,28,2,1,Thursday,Large,1
136,Federal,E-File,2025-01-13,High,No,Direct Deposit,Yes,Wire,4995,24,3,0,Monday,Large,0
137,NJ,E-File,2025-02-20,Low,Yes,Check,Yes,N/A,572,29,1,1,Thursday,Small,1
138,NY,Paper,2025-04-19,Medium,Yes,Check,Yes,N/A,4229,58,2,1,Saturday,Large,1
139,Federal,E-File,2025-03-30,Medium,Yes,Direct Deposit,No,N/A,644,17,2,1,Sunday,Small,1
140,NJ,Paper,2025-01-03,High,Yes,Direct Deposit,Yes,ACH,308,53,3,0,Friday,Small,1
141,Federal,E-File,2025-04-08,High,No,Check,No,N/A,3091,14,3,1,Tuesday,Large,0
142,CA,E-File,2025-02-14,Low,No,Check,Yes,N/A,3772,22,1,1,Friday,Large,0
143,NY,E-File,2025-03-11,Low,Yes,Direct Deposit,No,ACH,2886,19,1,1,Tuesday,Large,1
144,Federal,Paper,2025-01-18,Medium,Yes,Direct Deposit,No,ACH,810,40,2,0,Saturday,Small,1
145,Federal,E-File,2025-04-06,Low,Yes,Direct Deposit,No,ACH,4129,15,1,1,Sunday,Large,1
146,NY,E-File,2025-02-13,Medium,Yes,Check,Yes,N/A,4850,22,2,1,Thursday,Large,1
147,CA,E-File,2025-04-12,Medium,Yes,Direct Deposit,No,ACH,4665,16,2,1,Saturday,Large,1
148,NJ,Paper,2025-03-05,Low,Yes,Direct Deposit,No,Wire,4975,38,1,1,Wednesday,Large,1
149,NJ,Paper,2025-01-02,Low,Yes,Direct Deposit,No,N/A,3059,53,1,0,Thursday,Large,1
150,NJ,E-File,2025-04-05,Low,Yes,Direct Deposit,Yes,N/A,2243,37,1,1,Saturday,Medium,1
151,Federal,Paper,2025-04-10,Low,Yes,Direct Deposit,No,N/A,1449,45,1,1,Thursday,Medium,1
152,NJ,Paper,2025-02-23,Medium,Yes,Check,Yes,N/A,3137,60,2,1,Sunday,Large,1
153,Federal,Paper,2025-01-12,Low,No,Check,Yes,N/A,1764,33,1,0,Sunday,Medium,0
154,CA,E-File,2025-04-20,Medium,Yes,Check,Yes,N/A,4626,24,2,1,Sunday,Large,1
155,NY,Paper,2025-01-11,Medium,Yes,Direct Deposit,Yes,Wire,771,42,2,0,Saturday,Small,1
156,Federal,E-File,2025-01-19,Medium,No,Check,Yes,N/A,646,17,2,0,Sunday,Small,0
157,CA,Paper,2025-01-24,High,Yes,Direct Deposit,No,Wire,2303,42,3,0,Friday,Medium,1
158,NJ,Paper,2025-02-05,Low,No,Direct Deposit,No,ACH,4478,36,1,1,Wednesday,Large,0
159,NY,Paper,2025-01-25,Low,Yes,Direct Deposit,Yes,Wire,4808,44,1,0,Saturday,Large,1
160,NJ,E-File,2025-01-17,High,Yes,Direct Deposit,No,ACH,2118,27,3,0,Friday,Medium,1
161,NY,Paper,2025-03-16,High,Yes,Direct Deposit,No,N/A,4682,44,3,1,Sunday,Large,1
162,NJ,E-File,2025-02-05,High,Yes,Check,No,N/A,829,17,3,1,Wednesday,Small,1
163,CA,Paper,2025-04-27,Medium,Yes,Direct Deposit,No,N/A,2161,42,2,1,Sunday,Medium,1
164,NJ,E-File,2025-04-30,Medium,No,Direct Deposit,Yes,ACH,3290,21,2,1,Wednesday,Large,0
165,Federal,E-File,2025-02-16,Medium,Yes,Direct Deposit,Yes,N/A,3975,30,2,1,Sunday,Large,1
166,NJ,Paper,2025-01-28,High,No,Direct Deposit,Yes,Wire,2096,41,3,0,Tuesday,Medium,0
167,NJ,E-File,2025-03-11,High,No,Direct Deposit,No,ACH,4683,13,3,1,Tuesday,Large,0
168,NY,E-File,2025-04-07,Medium,No,Direct Deposit,No,Wire,4587,8,2,1,Monday,Large,0
169,CA,E-File,2025-04-08,Medium,No,Check,Yes,N/A,1991,18,2,1,Tuesday,Medium,0
170,CA,Paper,2025-01-11,Low,No,Check,Yes,N/A,1540,49,1,0,Saturday,Medium,0
171,NJ,E-File,2025-04-09,Low,Yes,Direct Deposit,Yes,Wire,1473,35,1,1,Wednesday,Medium,1
172,NJ,Paper,2025-02-23,Low,Yes,Direct Deposit,Yes,Wire,1918,49,1,1,Sunday,Medium,1
173,Federal,E-File,2025-01-23,Low,Yes,Check,No,N/A,349,25,1,0,Thursday,Small,1
174,Federal,Paper,2025-04-14,Low,Yes,Check,No,N/A,3338,50,1,1,Monday,Large,1
175,Federal,E-File,2025-03-02,Medium,No,Check,Yes,N/A,680,20,2,1,Sunday,Small,0
176,NJ,E-File,2025-03-13,Medium,No,Direct Deposit,No,N/A,4082,15,2,1,Thursday,Large,0
177,Federal,E-File,2025-03-04,High,No,Direct Deposit,No,ACH,1293,15,3,1,Tuesday,Medium,0
178,Federal,E-File,2025-04-17,Medium,Yes,Direct Deposit,Yes,ACH,3780,30,2,1,Thursday,Large,1
179,NY,E-File,2025-02-07,High,Yes,Check,No,N/A,3772,17,3,1,Friday,Large,1
180,CA,E-File,2025-04-10,High,No,Direct Deposit,No,ACH,946,15,3,1,Thursday,Small,0
181,NJ,Paper,2025-04-21,Low,No,Direct Deposit,No,Wire,1616,27,1,1,Monday,Medium,0
182,CA,E-File,2025-01-03,Low,Yes,Check,No,N/A,4726,24,1,0,Friday,Large,1
183,Federal,Paper,2025-04-06,Medium,No,Check,Yes,N/A,3984,53,2,1,Sunday,Large,0
184,NJ,E-File,2025-04-20,High,No,Check,No,N/A,2911,10,3,1,Sunday,Large,0
185,NJ,E-File,2025-04-22,High,Yes,Check,No,N/A,4345,25,3,1,Tuesday,Large,1
186,Federal,E-File,2025-02-14,High,Yes,Check,Yes,N/A,1840,31,3,1,Friday,Medium,1
187,Federal,E-File,2025-02-16,Low,No,Check,No,N/A,2150,9,1,1,Sunday,Medium,0
188,NJ,Paper,2025-04-29,Low,Yes,Check,Yes,N/A,3570,45,1,1,Tuesday,Large,1
189,NY,E-File,2025-01-13,Low,No,Direct Deposit,No,Wire,3810,8,1,0,Monday,Large,0
190,CA,Paper,2025-04-30,Medium,Yes,Direct Deposit,Yes,ACH,2275,61,2,1,Wednesday,Medium,1
191,NJ,E-File,2025-01-24,High,No,Check,Yes,N/A,3102,21,3,0,Friday,Large,0
192,Federal,Paper,2025-04-10,Medium,No,Direct Deposit,No,N/A,4092,27,2,1,Thursday,Large,0
193,NJ,Paper,2025-03-28,Low,Yes,Direct Deposit,No,N/A,1119,50,1,1,Friday,Medium,1
194,NJ,E-File,2025-02-14,Low,No,Check,Yes,N/A,1258,19,1,1,Friday,Medium,0
195,NY,E-File,2025-03-13,Low,No,Direct Deposit,No,Wire,3752,8,1,1,Thursday,Large,0
196,NY,Paper,2025-03-19,Low,Yes,Direct Deposit,Yes,ACH,1734,50,1,1,Wednesday,Medium,1
197,NJ,Paper,2025-03-18,Medium,No,Direct Deposit,No,ACH,1632,36,2,1,Tuesday,Medium,0
198,Federal,Paper,2025-02-03,Low,Yes,Check,No,N/A,2042,50,1,1,Monday,Medium,1
199,NJ,Paper,2025-01-16,Medium,Yes,Check,No,N/A,1469,52,2,0,Thursday,Medium,1
200,Federal,Paper,2025-01-28,Low,Yes,Direct Deposit,No,Wire,2665,48,1,0,Tuesday,Large,1
201,Federal,Paper,2025-02-07,High,Yes,Check,No,N/A,740,34,3,1,Friday,Small,1
202,NJ,Paper,2025-03-30,Low,Yes,Direct Deposit,Yes,Wire,1417,56,1,1,Sunday,Medium,1
203,Federal,E-File,2025-04-10,Medium,Yes,Direct Deposit,No,N/A,818,23,2,1,Thursday,Small,1
204,NJ,E-File,2025-03-05,Low,Yes,Check,Yes,N/A,1202,28,1,1,Wednesday,Medium,1
205,NY,E-File,2025-04-26,High,Yes,Direct Deposit,Yes,ACH,4452,23,3,1,Saturday,Large,1
206,NJ,Paper,2025-01-05,Low,No,Check,Yes,N/A,4142,30,1,0,Sunday,Large,0
207,Federal,E-File,2025-02-13,High,No,Check,Yes,N/A,789,18,3,1,Thursday,Small,0
208,NJ,Paper,2025-01-28,High,Yes,Direct Deposit,No,N/A,3472,52,3,0,Tuesday,Large,1
209,NJ,Paper,2025-04-14,Medium,No,Check,Yes,N/A,4638,44,2,1,Monday,Large,0
210,NY,E-File,2025-04-10,Medium,Yes,Direct Deposit,Yes,Wire,3502,28,2,1,Thursday,Large,1
211,NY,E-File,2025-01-27,High,No,Direct Deposit,Yes,N/A,914,22,3,0,Monday,Small,0
212,NJ,E-File,2025-02-04,High,Yes,Check,No,N/A,1304,17,3,1,Tuesday,Medium,1
213,Federal,E-File,2025-01-18,Low,No,Check,Yes,N/A,2611,18,1,0,Saturday,Large,0
214,NY,E-File,2025-02-19,Low,Yes,Direct Deposit,Yes,ACH,2586,27,1,1,Wednesday,Large,1
215,CA,Paper,2025-02-07,Low,No,Check,No,N/A,4944,31,1,1,Friday,Large,0
216,Federal,E-File,2025-02-19,High,No,Check,Yes,N/A,630,19,3,1,Wednesday,Small,0
217,NJ,Paper,2025-04-08,Medium,Yes,Check,Yes,N/A,4282,56,2,1,Tuesday,Large,1
218,NY,Paper,2025-04-23,Low,No,Check,Yes,N/A,1366,33,1,1,Wednesday,Medium,0
219,NY,E-File,2025-02-14,Medium,Yes,Check,No,N/A,2305,18,2,1,Friday,Medium,1
220,CA,Paper,2025-02-26,High,Yes,Direct Deposit,Yes,Wire,2747,58,3,1,Wednesday,Large,1
221,NY,Paper,2025-02-13,Medium,No,Check,Yes,N/A,3367,47,2,1,Thursday,Large,0
222,CA,E-File,2025-04-17,High,No,Check,Yes,N/A,1066,23,3,1,Thursday,Medium,0
223,Federal,Paper,2025-03-21,Low,No,Direct Deposit,No,N/A,1622,36,1,1,Friday,Medium,0
224,NY,Paper,2025-01-08,Low,Yes,Direct Deposit,No,ACH,1459,37,1,0,Wednesday,Medium,1
225,NJ,Paper,2025-03-23,Low,No,Direct Deposit,No,N/A,765,27,1,1,Sunday,Small,0
226,CA,Paper,2025-02-12,Low,Yes,Check,Yes,N/A,2654,45,1,1,Wednesday,Large,1
227,NY,E-File,2025-04-28,Medium,No,Direct Deposit,Yes,ACH,609,19,2,1,Monday,Small,0
228,NJ,E-File,2025-04-05,Low,No,Direct Deposit,No,ACH,1765,11,1,1,Saturday,Medium,0
229,NY,Paper,2025-03-07,Medium,Yes,Check,No,N/A,1693,40,2,1,Friday,Medium,1
230,Federal,Paper,2025-02-28,High,No,Direct Deposit,No,Wire,1617,43,3,1,Friday,Medium,0
231,NJ,E-File,2025-03-17,High,Yes,Check,No,N/A,541,30,3,1,Monday,Small,1
232,NJ,E-File,2025-02-08,Medium,Yes,Direct Deposit,Yes,ACH,581,25,2,1,Saturday,Small,1
233,Federal,E-File,2025-02-23,High,No,Direct Deposit,No,Wire,598,7,3,1,Sunday,Small,0
234,Federal,E-File,2025-03-23,Low,Yes,Direct Deposit,No,Wire,543,23,1,1,Sunday,Small,1
235,NJ,Paper,2025-04-06,Medium,No,Direct Deposit,Yes,Wire,3042,44,2,1,Sunday,Large,0
236,Federal,E-File,2025-04-04,High,No,Direct Deposit,No,ACH,3925,12,3,1,Friday,Large,0
237,Federal,E-File,2025-04-21,Medium,No,Direct Deposit,Yes,Wire,4342,13,2,1,Monday,Large,0
238,Federal,Paper,2025-04-19,Medium,Yes,Direct Deposit,No,N/A,644,36,2,1,Saturday,Small,1
239,Federal,Paper,2025-03-31,Medium,Yes,Check,No,N/A,1306,50,2,1,Monday,Medium,1
240,NY,E-File,2025-04-18,High,Yes,Check,Yes,N/A,1369,21,3,1,Friday,Medium,1
241,Federal,Paper,2025-01-06,High,No,Direct Deposit,Yes,N/A,3010,54,3,0,Monday,Large,0
242,NJ,Paper,2025-03-16,Medium,Yes,Check,No,N/A,1538,53,2,1,Sunday,Medium,1
243,NY,E-File,2025-04-09,High,Yes,Check,No,N/A,4541,25,3,1,Wednesday,Large,1
244,CA,Paper,2025-03-28,Medium,Yes,Check,Yes,N/A,2953,43,2,1,Friday,Large,1
245,Federal,Paper,2025-01-02,High,No,Direct Deposit,Yes,Wire,1453,47,3,0,Thursday,Medium,0
246,NY,Paper,2025-01-12,Low,Yes,Check,Yes,N/A,1198,44,1,0,Sunday,Medium,1
247,NJ,Paper,2025-04-02,High,No,Direct Deposit,No,ACH,3190,31,3,1,Wednesday,Large,0
248,Federal,E-File,2025-01-31,High,Yes,Check,No,N/A,2903,19,3,0,Friday,Large,1
249,NY,E-File,2025-02-17,Medium,No,Check,Yes,N/A,1995,14,2,1,Monday,Medium,0
250,NJ,E-File,2025-03-13,Low,Yes,Direct Deposit,Yes,N/A,431,29,1,1,Thursday,Small,1
251,NY,E-File,2025-03-11,High,Yes,Direct Deposit,No,Wire,3622,23,3,1,Tuesday,Large,1
